round_id,camel_c_0_location,camel_c_0_stack_location,camel_c_0_yet_to_move,camel_c_1_location,camel_c_1_stack_location,camel_c_1_yet_to_move,camel_c_2_location,camel_c_2_stack_location,camel_c_2_yet_to_move,camel_c_3_location,camel_c_3_stack_location,camel_c_3_yet_to_move,camel_c_4_location,camel_c_4_stack_location,camel_c_4_yet_to_move,player_0_coins,player_1_coins,player_2_coins,player_3_coins,active_player,action_type,camel,trap_type,trap_location,player_2_trap_location,player_2_trap_type,bet_type,player_0_trap_location,player_0_trap_type,player_1_trap_location,player_1_trap_type,distance,player_3_trap_location,player_3_trap_type,game_id,player_0_name,player_0_final,player_1_name,player_1_final,player_2_name,player_2_final,player_3_name,player_3_final,winners
7,1,0,True,2,0,True,0,0,True,0,1,True,5,0,False,3,2,2,2,2.0,move_trap,,-1.0,11.0,11.0,-1.0,,3.0,-1.0,,,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
8,1,0,True,2,0,False,0,0,True,0,1,True,5,0,False,4,2,2,3,3.0,move_camel,c_1,,,11.0,-1.0,,3.0,-1.0,,,0.0,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
9,1,0,True,2,0,False,2,1,False,2,2,True,5,0,False,5,2,2,3,0.0,move_camel,c_2,,,11.0,-1.0,,3.0,-1.0,,,2.0,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
10,1,0,True,2,0,False,2,1,False,2,2,True,5,0,False,5,2,2,3,1.0,round_winner_bet,c_3,,,11.0,-1.0,,3.0,-1.0,,,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
11,4,0,False,2,0,False,2,1,False,2,2,True,5,0,False,5,2,3,3,2.0,move_camel,c_0,,,11.0,-1.0,,3.0,-1.0,,,3.0,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
12,4,0,False,2,0,False,2,1,False,2,2,True,5,0,False,5,2,3,3,3.0,round_winner_bet,c_3,,,11.0,-1.0,,3.0,-1.0,,,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
13,4,0,True,2,1,True,2,2,True,2,0,True,5,0,True,7,8,2,5,0.0,move_camel,c_3,,,11.0,-1.0,,3.0,-1.0,,,0.0,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
14,4,0,True,2,1,True,2,2,True,2,0,True,5,0,True,7,8,2,5,1.0,round_winner_bet,c_4,,,11.0,-1.0,,3.0,-1.0,,,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
15,4,0,True,2,1,True,2,2,True,2,0,True,5,0,True,7,8,2,5,2.0,game_bet,c_3,,,11.0,-1.0,lose,3.0,-1.0,,,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
16,4,0,True,2,1,True,2,2,True,2,0,True,5,0,True,7,8,2,5,3.0,game_bet,c_3,,,11.0,-1.0,lose,3.0,-1.0,,,,,,greedy_4player_g85,GreedyAgent,16,GreedyAgent,27,GreedyAgent,31,GreedyAgent,9,GreedyAgent
