round_id,camel_c_0_location,camel_c_0_stack_location,camel_c_0_yet_to_move,camel_c_1_location,camel_c_1_stack_location,camel_c_1_yet_to_move,camel_c_2_location,camel_c_2_stack_location,camel_c_2_yet_to_move,camel_c_3_location,camel_c_3_stack_location,camel_c_3_yet_to_move,camel_c_4_location,camel_c_4_stack_location,camel_c_4_yet_to_move,player_0_coins,player_1_coins,player_2_coins,player_3_coins,game_id,active_player,action_type,camel,ev,trap_type,trap_location,player_1_trap_location,player_1_trap_type,distance,bet_type,player_2_trap_location,player_2_trap_type,player_0_trap_location,player_0_trap_type,player_3_trap_location,player_3_trap_type
8,2,1,True,2,2,True,2,3,False,2,0,True,0,0,True,2,2,2,3,57,3.0,move_camel,c_2,0.75,,,3.0,-1.0,1.0,,,,,,5.0,-1.0
9,2,1,True,2,2,True,2,3,False,2,0,True,0,0,True,2,2,2,3,57,0.0,round_winner_bet,c_2,2.1300000000000003,,,3.0,-1.0,,,,,,,5.0,-1.0
10,2,1,True,2,2,True,2,3,False,2,0,True,0,0,True,2,2,2,3,57,1.0,round_winner_bet,c_2,1.2060000000000002,,,3.0,-1.0,,,,,,,5.0,-1.0
11,2,1,True,2,2,True,2,3,False,2,0,True,0,0,True,2,2,2,3,57,2.0,round_winner_bet,c_2,0.7570000000000001,,,3.0,-1.0,,,,,,,5.0,-1.0
12,2,1,True,2,2,True,2,3,False,2,0,True,0,0,True,2,2,2,3,57,3.0,game_bet,c_4,2.2499999999999996,,,3.0,-1.0,,lose,,,,,5.0,-1.0
13,2,1,True,2,2,True,2,3,False,2,0,True,0,0,True,2,2,2,3,57,0.0,game_bet,c_2,1.0675,,,3.0,-1.0,,win,,,,,5.0,-1.0
14,2,1,True,4,0,False,4,1,False,2,0,True,0,0,True,2,3,2,3,57,1.0,move_camel,c_1,0.75,,,3.0,-1.0,2.0,,,,,,5.0,-1.0
15,2,1,True,4,0,False,4,1,False,2,0,True,0,0,True,2,3,2,3,57,2.0,round_winner_bet,c_3,0.806,,,3.0,-1.0,,,,,,,5.0,-1.0
16,4,1,True,4,2,False,4,3,False,4,0,False,0,0,True,2,3,2,5,57,3.0,move_camel,c_3,0.75,,,3.0,-1.0,2.0,,,,,,5.0,-1.0
17,4,1,True,4,2,False,4,3,False,4,0,False,0,0,True,2,3,2,5,57,0.0,game_bet,c_1,0.8712500000000001,,,3.0,-1.0,,win,,,,,5.0,-1.0
18,4,1,True,4,2,False,4,3,False,4,0,False,0,0,True,2,3,2,5,57,1.0,game_bet,c_2,1.42625,,,3.0,-1.0,,win,,,,,5.0,-1.0
19,4,1,True,4,2,False,4,3,False,4,0,False,0,0,True,2,3,2,5,57,2.0,game_bet,c_2,1.41375,,,3.0,-1.0,,win,,,,,5.0,-1.0
20,4,1,True,4,2,False,4,3,False,4,0,False,0,0,True,2,3,2,5,57,3.0,game_bet,c_2,1.2425000000000002,,,3.0,-1.0,,win,,,,,5.0,-1.0
21,6,0,False,6,1,False,6,2,False,4,0,False,0,0,True,3,3,2,5,57,0.0,move_camel,c_0,0.75,,,3.0,-1.0,2.0,,,,,,5.0,-1.0
22,6,0,False,6,1,False,6,2,False,4,0,False,0,0,True,3,3,2,5,57,1.0,game_bet,c_1,1.15,,,3.0,-1.0,,win,,,,,5.0,-1.0
23,6,0,False,6,1,False,6,2,False,4,0,False,0,0,True,3,3,2,5,57,2.0,game_bet,c_1,1.1650000000000003,,,3.0,-1.0,,win,,,,,5.0,-1.0
24,6,0,False,6,1,False,6,2,False,4,0,False,0,0,True,3,3,2,5,57,3.0,round_winner_bet,c_1,1.0,,,3.0,-1.0,,,,,,,5.0,-1.0
25,6,0,False,6,1,False,6,2,False,4,0,False,0,0,True,3,3,2,5,57,0.0,round_winner_bet,c_1,1.0,,,3.0,-1.0,,,,,,,5.0,-1.0
26,6,0,True,6,1,True,6,2,True,4,0,True,1,0,True,10,7,2,6,57,1.0,move_camel,c_4,0.75,,,3.0,-1.0,1.0,,,,,,5.0,-1.0
27,6,0,True,6,1,True,6,2,True,4,0,True,1,0,True,10,7,2,6,57,2.0,round_winner_bet,c_2,2.244,,,3.0,-1.0,,,,,,,5.0,-1.0
28,6,0,True,6,1,True,6,2,True,4,0,True,1,0,True,10,7,2,6,57,3.0,game_bet,c_1,1.58875,,,3.0,-1.0,,win,,,,,5.0,-1.0
29,6,0,True,6,1,True,6,2,True,4,0,True,1,0,True,10,7,2,6,57,0.0,round_winner_bet,c_1,1.614,,,3.0,-1.0,,,,,,,5.0,-1.0
30,6,0,True,6,1,True,6,2,True,4,0,True,1,0,True,10,7,2,6,57,1.0,round_winner_bet,c_2,1.426,,,3.0,-1.0,,,,,,,5.0,-1.0
31,6,0,True,6,1,True,6,2,True,4,0,True,1,0,True,10,7,2,6,57,2.0,game_bet,c_0,1.0512499999999998,,,3.0,-1.0,,win,,,,,5.0,-1.0
32,6,0,True,6,1,True,6,2,True,4,0,True,1,0,True,10,7,2,6,57,3.0,round_winner_bet,c_1,0.9560000000000001,,,3.0,-1.0,,,,,,,5.0,-1.0
33,6,0,True,6,1,True,6,2,True,4,0,True,1,0,True,10,7,2,6,57,0.0,move_trap,,1.0840000000000014,-1.0,7.0,3.0,-1.0,,,,,7.0,-1.0,5.0,-1.0
34,6,0,True,6,1,True,6,2,True,4,0,True,1,0,True,10,7,2,6,57,1.0,game_bet,c_0,1.02875,,,3.0,-1.0,,win,,,7.0,-1.0,5.0,-1.0
35,6,0,True,6,1,True,6,2,True,4,0,True,1,0,True,10,7,2,6,57,2.0,move_trap,,0.992,-1.0,9.0,3.0,-1.0,,,9.0,-1.0,7.0,-1.0,5.0,-1.0
36,6,0,True,6,1,True,6,2,True,4,0,True,1,0,True,10,7,2,6,57,3.0,game_bet,c_0,0.87,,,3.0,-1.0,,win,9.0,-1.0,7.0,-1.0,5.0,-1.0
37,6,0,True,6,1,True,6,2,True,4,0,True,1,0,True,10,7,2,6,57,0.0,round_winner_bet,c_0,0.902,,,3.0,-1.0,,,9.0,-1.0,7.0,-1.0,5.0,-1.0
38,6,0,True,6,1,True,6,2,True,4,0,True,1,0,True,10,7,2,6,57,1.0,round_winner_bet,c_2,0.798,,,3.0,-1.0,,,9.0,-1.0,7.0,-1.0,5.0,-1.0
39,6,0,True,6,1,True,6,2,True,4,0,True,4,1,False,10,7,3,6,57,2.0,move_camel,c_4,0.75,,,3.0,-1.0,3.0,,9.0,-1.0,7.0,-1.0,5.0,-1.0
40,6,0,True,6,1,True,6,2,True,4,0,True,4,1,False,10,7,3,6,57,3.0,game_bet,c_3,1.3899999999999997,,,3.0,-1.0,,lose,9.0,-1.0,7.0,-1.0,5.0,-1.0
41,6,0,True,6,1,True,6,2,True,4,0,True,4,1,False,10,7,3,6,57,0.0,game_bet,c_3,1.6337500000000005,,,3.0,-1.0,,lose,9.0,-1.0,7.0,-1.0,5.0,-1.0
42,6,0,True,6,1,True,6,2,True,4,0,True,4,1,False,10,7,3,6,57,1.0,game_bet,c_3,1.7125000000000004,,,3.0,-1.0,,lose,9.0,-1.0,7.0,-1.0,5.0,-1.0
43,6,0,True,6,1,True,6,2,True,4,0,True,4,1,False,10,7,3,6,57,2.0,game_bet,c_3,1.61375,,,3.0,-1.0,,lose,9.0,-1.0,7.0,-1.0,5.0,-1.0
44,6,0,True,8,0,False,8,1,True,4,0,True,4,1,False,10,7,4,7,57,3.0,move_camel,c_1,0.75,,,3.0,-1.0,2.0,,9.0,-1.0,7.0,-1.0,5.0,-1.0
45,6,0,True,8,0,False,8,1,True,4,0,True,4,1,False,10,7,4,7,57,0.0,round_winner_bet,c_1,0.811,,,3.0,-1.0,,,9.0,-1.0,7.0,-1.0,5.0,-1.0
46,6,0,True,8,0,False,11,0,False,4,0,True,4,1,False,10,8,4,7,57,1.0,move_camel,c_2,0.75,,,3.0,-1.0,3.0,,9.0,-1.0,7.0,-1.0,5.0,-1.0
47,8,0,False,8,1,False,11,0,False,4,0,True,4,1,False,10,8,6,7,57,2.0,move_camel,c_0,0.75,,,3.0,-1.0,2.0,,9.0,-1.0,7.0,-1.0,5.0,-1.0
